[1/50], train loss: {'value': 1.591662}, train acc: {'value': 0.5768}, train IoU: {'value': 0.1139}, val loss: {'value': 1.605469}, val acc: {'value': 0.5873}, val IoU: {'value': 0.114}, lr: [0.0003]
[2/50], train loss: {'value': 1.163333}, train acc: {'value': 0.6189}, train IoU: {'value': 0.1469}, val loss: {'value': 1.120218}, val acc: {'value': 0.6243}, val IoU: {'value': 0.1458}, lr: [0.0003]
[3/50], train loss: {'value': 0.970296}, train acc: {'value': 0.6649}, train IoU: {'value': 0.152}, val loss: {'value': 0.973441}, val acc: {'value': 0.6729}, val IoU: {'value': 0.1517}, lr: [0.0003]
[4/50], train loss: {'value': 0.860153}, train acc: {'value': 0.6536}, train IoU: {'value': 0.1494}, val loss: {'value': 0.835541}, val acc: {'value': 0.6551}, val IoU: {'value': 0.149}, lr: [0.0003]
[5/50], train loss: {'value': 0.750304}, train acc: {'value': 0.6899}, train IoU: {'value': 0.1643}, val loss: {'value': 0.746976}, val acc: {'value': 0.6962}, val IoU: {'value': 0.1635}, lr: [0.0003]
[6/50], train loss: {'value': 0.691283}, train acc: {'value': 0.7051}, train IoU: {'value': 0.1716}, val loss: {'value': 0.688756}, val acc: {'value': 0.7091}, val IoU: {'value': 0.1704}, lr: [0.0003]
[7/50], train loss: {'value': 0.64551}, train acc: {'value': 0.7018}, train IoU: {'value': 0.179}, val loss: {'value': 0.643289}, val acc: {'value': 0.7062}, val IoU: {'value': 0.1785}, lr: [0.0003]
[8/50], train loss: {'value': 0.607024}, train acc: {'value': 0.7042}, train IoU: {'value': 0.1794}, val loss: {'value': 0.605192}, val acc: {'value': 0.7102}, val IoU: {'value': 0.1788}, lr: [0.0003]
[9/50], train loss: {'value': 0.573481}, train acc: {'value': 0.7083}, train IoU: {'value': 0.1843}, val loss: {'value': 0.57158}, val acc: {'value': 0.7164}, val IoU: {'value': 0.184}, lr: [0.0003]
[10/50], train loss: {'value': 0.54373}, train acc: {'value': 0.7106}, train IoU: {'value': 0.1878}, val loss: {'value': 0.542113}, val acc: {'value': 0.7175}, val IoU: {'value': 0.1876}, lr: [0.0003]
[11/50], train loss: {'value': 0.520632}, train acc: {'value': 0.6822}, train IoU: {'value': 0.1935}, val loss: {'value': 0.518687}, val acc: {'value': 0.6895}, val IoU: {'value': 0.1933}, lr: [0.0003]
[12/50], train loss: {'value': 0.495648}, train acc: {'value': 0.7047}, train IoU: {'value': 0.198}, val loss: {'value': 0.494307}, val acc: {'value': 0.7109}, val IoU: {'value': 0.1973}, lr: [0.0003]
[13/50], train loss: {'value': 0.473577}, train acc: {'value': 0.7365}, train IoU: {'value': 0.1842}, val loss: {'value': 0.472527}, val acc: {'value': 0.7439}, val IoU: {'value': 0.183}, lr: [0.0003]
[14/50], train loss: {'value': 0.455012}, train acc: {'value': 0.7177}, train IoU: {'value': 0.1939}, val loss: {'value': 0.453882}, val acc: {'value': 0.7239}, val IoU: {'value': 0.1925}, lr: [0.0003]
[15/50], train loss: {'value': 0.437676}, train acc: {'value': 0.7178}, train IoU: {'value': 0.1981}, val loss: {'value': 0.43659}, val acc: {'value': 0.724}, val IoU: {'value': 0.1978}, lr: [0.0003]
[16/50], train loss: {'value': 0.422048}, train acc: {'value': 0.7308}, train IoU: {'value': 0.1877}, val loss: {'value': 0.421097}, val acc: {'value': 0.7377}, val IoU: {'value': 0.1875}, lr: [0.0003]
[17/50], train loss: {'value': 0.407349}, train acc: {'value': 0.7296}, train IoU: {'value': 0.1939}, val loss: {'value': 0.406489}, val acc: {'value': 0.7357}, val IoU: {'value': 0.1932}, lr: [0.0003]
[18/50], train loss: {'value': 0.394157}, train acc: {'value': 0.7131}, train IoU: {'value': 0.2028}, val loss: {'value': 0.393225}, val acc: {'value': 0.7198}, val IoU: {'value': 0.2017}, lr: [0.0003]
[19/50], train loss: {'value': 0.381377}, train acc: {'value': 0.7346}, train IoU: {'value': 0.1946}, val loss: {'value': 0.380564}, val acc: {'value': 0.7429}, val IoU: {'value': 0.1939}, lr: [0.0003]
[20/50], train loss: {'value': 0.374119}, train acc: {'value': 0.6906}, train IoU: {'value': 0.1848}, val loss: {'value': 0.371172}, val acc: {'value': 0.6978}, val IoU: {'value': 0.1843}, lr: [0.0003]
[21/50], train loss: {'value': 0.360865}, train acc: {'value': 0.7253}, train IoU: {'value': 0.168}, val loss: {'value': 0.359347}, val acc: {'value': 0.7335}, val IoU: {'value': 0.168}, lr: [0.0003]
[22/50], train loss: {'value': 0.350081}, train acc: {'value': 0.704}, train IoU: {'value': 0.1814}, val loss: {'value': 0.349335}, val acc: {'value': 0.7138}, val IoU: {'value': 0.1813}, lr: [0.0003]
[23/50], train loss: {'value': 0.339374}, train acc: {'value': 0.7126}, train IoU: {'value': 0.182}, val loss: {'value': 0.338553}, val acc: {'value': 0.7205}, val IoU: {'value': 0.1813}, lr: [0.0003]
[24/50], train loss: {'value': 0.330284}, train acc: {'value': 0.7125}, train IoU: {'value': 0.1838}, val loss: {'value': 0.329374}, val acc: {'value': 0.7197}, val IoU: {'value': 0.1839}, lr: [0.0003]
[25/50], train loss: {'value': 0.32144}, train acc: {'value': 0.7286}, train IoU: {'value': 0.1809}, val loss: {'value': 0.320368}, val acc: {'value': 0.7351}, val IoU: {'value': 0.1802}, lr: [0.0003]
